Trial_625_x,Trial_625_y,Trial_625_x.1,Trial_625_y.1,Trial_850_x,Trial_850_y,Trial_1371_x,Trial_1371_y,Trial_1482_x,Trial_1482_y,Trial_1605_x,Trial_1605_y,Trial_2161_x,Trial_2161_y,Trial_1178_x,Trial_1178_y,Trial_1217_x,Trial_1217_y,Trial_1664_x,Trial_1664_y,Trial_733_x,Trial_733_y,Trial_1215_x,Trial_1215_y,Trial_1399_x,Trial_1399_y
,,,,,,37.16666667,473.9642857,37.06666667,484.25,49.1,1007.25,37.2,836.9318182,37.73333333,102.3958333,37.1,353.76,37.66666667,280.3235294,,,38,643.6,36.43333333,883.0357143
,,,,,,38,499.0357143,37.9,492.75,48.33333333,1269.75,36.36666667,823.0681818,36.9,103.6041667,37.93333333,383.24,36.83333333,273.6764706,,,37.16666667,635.4,37.23333333,931.9642857
,,,,,,38.83333333,469.9642857,38.73333333,482.25,49.16666667,1036.25,38.9,833.9318182,37.8,98.39583333,38.73333333,344.76,39.33333333,277.3235294,,,39.66666667,646.6,38.06666667,871.0357143
,,,,,,39.66666667,501.0357143,39.56666667,490.75,50,1255.75,38.06666667,829.0681818,38.53333333,101.6041667,39.56666667,354.24,38.5,272.6764706,,,38.83333333,627.4,38.93333333,933.9642857
,,,,,,40.5,466.9642857,40.4,479.25,50.83333333,1019.25,40.56666667,832.9318182,,,40.4,341.76,41,276.3235294,,,40.5,623.4,39.76666667,868.0357143
,,,,,,41.33333333,496.0357143,41.23333333,488.75,51.7,1256.75,39.7,822.0681818,,,39.8,224.24,40.16666667,271.6764706,,,,,40.6,920.9642857
,,,,,,42.16666667,462.9642857,42.06666667,477.25,52.53333333,1015.25,42.23333333,822.9318182,,,,,42.63333333,276.3235294,,,,,41.46666667,856.0357143
,,,,,,43,496.0357143,42.9,487.75,53.36666667,1255.75,41.4,824.0681818,,,,,41.83333333,270.6764706,,,,,42.3,928.9642857
,,,,,,43.83333333,461.9642857,43.7,471.25,,,43.9,809.9318182,,,,,44.3,272.3235294,,,,,43.1,844.0357143
,,,,,,44.66666667,493.0357143,44.56666667,487.75,,,43.06666667,815.0681818,,,,,43.46666667,268.6764706,,,,,43.93333333,924.9642857
