Trial 1_x,Trial 1_y,Trial 2_x,Trial 2_y,Trial 3_x,Trial 3_y,Trial 4_x,Trial 4_y,Trial 5_x,Trial 5_y,Trial 6_x,Trial 6_y,Trial 7_x,Trial 7_y,Trial 8_x,Trial 8_y,Trial 9_x,Trial 9_y,Trial 10_x,Trial 10_y,Trial 11_x,Trial 11_y,Trial 12_x,Trial 12_y,Trial 13_x,Trial 13_y,Trial 14_x,Trial 14_y
21.67985565,593.3541667,20.87823984,654.75,22.06481077,405.4375,21.18068762,429.9166667,21.4448319,376.275,27.45,329.6041667,21.45085119,403.3076923,21.79576863,382.3846154,21.83333333,420.68,20.71746592,391.1458333,21.97955937,606.5625,21.28149142,447.625,21.7287961,253.7916667,22.04629567,338.6041667
20.89664796,594.6458333,21.64471951,650.25,21.26487805,404.5625,21.96392312,434.0833333,20.66107833,374.725,28.25,374.3958333,20.65081944,406.6923077,21.04591421,389.6153846,21.05,421.32,21.48416217,391.8541667,21.17969671,607.4375,22.04809174,411.375,20.9456263,255.2083333,21.26309394,339.3958333
23.26293504,587.3541667,22.44452439,651.75,23.63134567,406.4375,22.74715862,432.9166667,23.02901466,378.275,29.01666667,329.6041667,23.01758003,405.3076923,23.37879464,385.3846154,23.41666667,419.68,22.28419303,391.1458333,23.56262089,613.5625,22.83135728,407.625,23.31179889,255.7916667,23.61269915,336.6041667
22.46306335,583.6458333,23.22766667,650.25,22.83141295,401.5625,23.5470587,433.0833333,22.24526109,375.725,29.81666667,375.3958333,22.21754828,402.6923077,22.61227679,391.6153846,22.63333333,421.32,23.06755658,392.8541667,22.74609442,603.4375,23.61462282,407.375,22.5119659,258.2083333,22.82949741,340.3958333
24.84601443,590.3541667,24.01080894,646.75,25.19788057,400.4375,24.3302942,429.9166667,24.59652182,370.275,30.58333333,325.6041667,24.60097619,404.3076923,24.96182065,374.3846154,25,420.68,23.83425283,388.1458333,25.11235479,601.5625,24.39788836,404.625,24.8614753,250.7916667,25.17910262,335.6041667
24.04614274,582.6458333,24.81061382,648.25,24.41461312,401.5625,25.1135297,428.0833333,23.79609263,372.725,31.36666667,368.3958333,23.80094444,401.6923077,24.17863936,385.6153846,24.2,417.32,24.63428369,386.8541667,24.32915594,603.4375,25.19781913,409.375,24.0783055,255.2083333,24.41256475,336.3958333
26.41242983,584.3541667,25.5937561,643.75,26.76441548,398.4375,25.8967652,428.9166667,26.18070458,370.275,32.16666667,322.6041667,26.16770503,401.3076923,26.54484666,385.3846154,26.56666667,419.68,25.43431456,386.1458333,26.69541631,599.5625,25.99774989,406.625,26.44447808,253.7916667,26.76216996,337.6041667
25.61255814,587.6458333,26.37689837,646.25,25.98114802,399.5625,26.69666528,429.0833333,25.38027539,369.725,32.95,368.3958333,25.36767328,399.6923077,25.76166537,385.6153846,25.76666667,415.32,26.21767811,385.8541667,25.89555365,598.4375,26.78101543,411.375,25.66130828,253.2083333,25.97896822,333.3958333
27.97884523,581.3541667,27.17670325,646.75,28.34761564,398.4375,27.46323619,423.9166667,27.74821173,370.275,33.73333333,323.6041667,27.73443386,400.3076923,28.07788238,374.3846154,28.13333333,417.68,27.00104167,388.1458333,28.27847783,602.5625,27.56428098,405.625,28.01081768,253.7916667,28.32857343,330.6041667
27.19563753,577.6458333,27.94318293,640.25,27.56434819,400.5625,28.26313628,424.0833333,26.98113376,370.725,34.51666667,367.3958333,26.95106944,400.6923077,27.31136452,388.6153846,27.33333333,413.32,27.78440522,387.8541667,27.46195136,595.4375,28.34754652,402.375,27.22764788,256.2083333,27.54537169,333.3958333
29.54526063,583.3541667,28.7429878,641.75,29.91415055,396.4375,29.04637177,419.9166667,29.33239449,368.275,35.3,321.6041667,29.31783003,394.3076923,29.66090839,372.3846154,29.71666667,410.68,28.56776878,383.1458333,29.84487554,597.5625,29.14747728,403.625,29.57715727,249.7916667,29.91164077,330.6041667
